student_id,course_id,n,cogproc,male,female,friend,family,social,sad,anger,anx,negemo,posemo,affect,quant,number,interrog,compare,adj,verb,negate,conj,adverb,auxverb,prep,article,ipron,they,shehe,you,we,i,ppron,pronoun,function,Dic,Sixltr,WPS,Tone,Authentic,Clout,Analytic,WC
86275,AnPhA-S116-01,27,10.53962963,0.036666667,0,0.011481481,0,5.498888889,0.02037037,0,0.398888889,0.673333333,3.889259259,4.611111111,2.552222222,2.102222222,1.461111111,2.405555556,4.541481481,13.35111111,0.671851852,6.008148148,5.132592593,7.413703704,12.00111111,8.327037037,7.165555556,0.335925926,0.036666667,1.530740741,0.842962963,1.524444444,4.272222222,11.43777778,46.65259259,76.99444444,17.90703704,15.1362963,61.74407407,31.49037037,55.14888889,68.59851852,62.25925926
86277,AnPhA-S116-01,24,10.1275,0.27625,0.13,0.13,0.057916667,8.505416667,0.097083333,0,0.313333333,0.732083333,5.408333333,6.140833333,2.064583333,1.434166667,1.416666667,2.052916667,4.23,13.04333333,1.39,4.953333333,4.63875,7.631666667,12.785,6.729166667,4.35375,0.637083333,0.27625,3.795,0.929166667,2.57,8.205416667,12.55958333,47.08125,74.64833333,18.48625,13.82375,71.42083333,18.90416667,68.34791667,60.3625,54.04166667
86280,FrScA-S116-01,39,15.86487179,0.291794872,0.107179487,0.055641026,0.228205128,7.227692308,0.026153846,0.236153846,0.188461538,0.925641026,6.637692308,7.563076923,3.416410256,0.888205128,1.345897436,2.226153846,3.905641026,18.14820513,1.244871795,5.085897436,6.79974359,9.253076923,10.86794872,5.237435897,8.015384615,1.009230769,0.260769231,1.655384615,0.35,6.193076923,9.469487179,17.48461538,52.18025641,83.72205128,14.45512821,13.61948718,66.22948718,48.62410256,46.06512821,43.49564103,65.1025641
86286,AnPhA-S116-01,26,10.81153846,0.132692308,0,0.077307692,0.010769231,6.155,0.042692308,0.078461538,0.292692308,0.788461538,3.706153846,4.642307692,1.175,0.945769231,1.657692308,2.434615385,4.242307692,11.62538462,0.394615385,5.653461538,6.648461538,6.918461538,10.94653846,7.295769231,5.092307692,0.361923077,0,2.191538462,0.826153846,2.394615385,5.774615385,10.865,44.54807692,70.23653846,18.93807692,12.18923077,59.45961538,22.42230769,60.51653846,64.63269231,64.30769231
86294,AnPhA-S116-01,29,12.45655172,0.074827586,0,0.039310345,0.15,6.344482759,0.061724138,0,0.173793103,0.634827586,4.018965517,4.653448276,1.894482759,1.02862069,1.439655172,1.997586207,3.837931034,15.0062069,1.861034483,5.796551724,5.678275862,8.684827586,11.21827586,7.048275862,6.648275862,0.288965517,0,2.860344828,0.628965517,3.513793103,7.292758621,13.94206897,49.46137931,78.46310345,16.52655172,17.31275862,59.4637931,42.4137931,52.92586207,54.18068966,47.62068966
86296,OcnA-S216-01,20,13.0355,0.0925,0.156,0.0925,0.2675,8.646,0.0925,0.0925,0.171,0.653,5.319,5.973,1.7685,1.7745,1.9695,1.466,4.716,14.868,0.4365,4.9295,6.0905,8.338,14.676,8.1345,6.3195,1.582,0.0315,2.3185,1.469,3.971,9.3705,15.691,54.0835,84.619,17.7265,17.293,75.361,39.307,69.012,67.21,62.4
86309,FrScA-S116-03,40,14.5435,0.175,0,0.1,0.2495,7.2305,0.017,0.32425,0.02975,0.65675,7.10625,7.805,2.49975,1.153,1.594,3.1785,6.605,17.04075,1.26825,5.591,7.2525,8.15075,10.75525,5.909,7.25275,1.283,0.12575,3.1105,0.1595,5.7425,10.42125,17.67475,51.974,84.824,15.91775,11.94625,70.5635,51.4415,49.598,45.921,52.825
86314,AnPhA-S116-02,22,13.72818182,0,0,0,0,7.045454545,0.100909091,0,0.100909091,0.201818182,5.315,5.517272727,2.894545455,0.948181818,1.225909091,1.600909091,3.745,11.86818182,0.592727273,6.251818182,5.742272727,6.259090909,10.05318182,6.436818182,4.705454545,0.823636364,0,4.169545455,0,4.840909091,9.834545455,14.54,46.85772727,77.55181818,18.37909091,12.05136364,71.16681818,44.21272727,55.95818182,54.95818182,35.59090909
86339,FrScA-S116-01,40,14.44025,0.135,0.182,0,0.22425,4.283,0.02675,0.04975,0.09825,0.65825,9.3475,10.00575,2.13125,0.668,1.431,2.9345,5.44075,15.89775,0.81125,6.8605,6.2725,9.696,12.12175,4.72275,5.2775,1.045,0.197,0.98425,0,5.08675,7.312,12.58925,48.7225,85.66575,22.6405,11.52275,80.90675,48.15175,37.51,52.58575,57.8
86340,FrScA-S116-01,39,15.08179487,0.15974359,0,0,0.017435897,5.89025641,0.012564103,0.372564103,0.181025641,0.612820513,4.186666667,4.799487179,1.68974359,0.816153846,2.154871795,2.283333333,3.537948718,16.21230769,1.493846154,8.468205128,8.341538462,8.561538462,11.96076923,5.458717949,7.397948718,1.795384615,0.142051282,1.804102564,0.231794872,6.047179487,10.01974359,17.41820513,55.27410256,83.86102564,17.24794872,16.28410256,68.81538462,58.45,40.65487179,41.81948718,48.46153846
86340,OcnA-S216-01,39,15.08179487,0.15974359,0,0,0.017435897,5.89025641,0.012564103,0.372564103,0.181025641,0.612820513,4.186666667,4.799487179,1.68974359,0.816153846,2.154871795,2.283333333,3.537948718,16.21230769,1.493846154,8.468205128,8.341538462,8.561538462,11.96076923,5.458717949,7.397948718,1.795384615,0.142051282,1.804102564,0.231794872,6.047179487,10.01974359,17.41820513,55.27410256,83.86102564,17.24794872,16.28410256,68.81538462,58.45,40.65487179,41.81948718,48.46153846
86349,FrScA-S216-01,34,14.83529412,0.222941176,0.262647059,0,0.067647059,5.466470588,0.097941176,0.413235294,0.178823529,1.173823529,5.038529412,6.212941176,2.709117647,0.911470588,1.972647059,3.528529412,5.665882353,17.93735294,1.39,7.324117647,8.039705882,11.105,12.10794118,6.974117647,8.207058824,1.274117647,0.367647059,0.373529412,0.263529412,2.805,5.084117647,13.29264706,54.67970588,86.32147059,21.09676471,17.65558824,67.84176471,36.76911765,40.89823529,47.70323529,67.70588235
86349,OcnA-S116-01,34,14.83529412,0.222941176,0.262647059,0,0.067647059,5.466470588,0.097941176,0.413235294,0.178823529,1.173823529,5.038529412,6.212941176,2.709117647,0.911470588,1.972647059,3.528529412,5.665882353,17.93735294,1.39,7.324117647,8.039705882,11.105,12.10794118,6.974117647,8.207058824,1.274117647,0.367647059,0.373529412,0.263529412,2.805,5.084117647,13.29264706,54.67970588,86.32147059,21.09676471,17.65558824,67.84176471,36.76911765,40.89823529,47.70323529,67.70588235
86353,PhysA-S116-01,20,16.163,0.681,0,0,0.2175,6.159,0.326,0,0.2585,1.1035,5.997,7.1005,2.4175,2.1745,3.4605,3.2565,5.434,15.3185,1.4825,9.7845,7.7265,8.499,11.0305,7.4395,7.4685,0.5285,0.4635,1.9925,0.792,6.1065,9.8825,17.35,57.5015,89.768,15.2675,17.915,71.828,53.6135,41.99,41.706,55.7
86364,FrScA-S116-01,39,12.50641026,0.067435897,0,0.025641026,0.083333333,7.362307692,0.407692308,0.167692308,0.027948718,0.798974359,9.869487179,10.66794872,2.262051282,0.522820513,1.27025641,3.506666667,6.008717949,12.34512821,1.048461538,7.360512821,6.212307692,6.409487179,11.99846154,4.643589744,5.996153846,0.192051282,0.051794872,3.340769231,0.233076923,3.650769231,7.469487179,13.46564103,48.24333333,81.63435897,20.68897436,15.33128205,72.66923077,37.35666667,54.34435897,56.44,50.84615385
86365,FrScA-S116-01,41,11.92341463,0.081707317,0.00804878,0,0.00804878,5.26,0.032439024,0.150731707,0,0.376097561,5.096341463,5.472439024,2.200487805,1.11195122,1.520487805,2.377317073,3.521707317,12.8397561,0.218780488,7.469268293,6.645121951,7.825853659,10.50268293,7.092195122,6.400487805,0.115853659,0.081707317,3.36195122,0,4.286829268,7.846829268,14.24731707,50.25268293,78.26585366,21.33585366,13.62292683,71.29439024,35.75097561,53.04829268,55.35512195,60.6097561
86429,AnPhA-S116-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86432,AnPhA-S116-01,23,10.17478261,0,0,0.387826087,0.017391304,8.786521739,0.125217391,0.259130435,0.283043478,1.759565217,9.102173913,10.86086957,0.984347826,2.855652174,0.498695652,1.95173913,2.073913043,16.13347826,1.188695652,2.63826087,4.314782609,6.582173913,10.7026087,5.747391304,3.871304348,0.069130435,0,6.429130435,0.124347826,4.31173913,10.93565217,14.80782609,44.00173913,81.83869565,14.63043478,11.6373913,58.82304348,36.74043478,64.05956522,62.37130435,43.60869565
